"Cost per message in MXN on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,MXN,"1,000,001","4,500,000",Tier rate,0.6626,-10%,"2,000,001","10,000,000",Tier rate,0.6626,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,500,001","40,000,000",Tier rate,0.6258,-15%,"10,000,001","20,000,000",Tier rate,0.6258,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"40,000,001","80,000,000",Tier rate,0.5890,-20%,"20,000,001","40,000,000",Tier rate,0.5890,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"80,000,001",--,Tier rate,0.5522,-25%,"40,000,001",--,Tier rate,0.5522,-25%,n/a,n/a,n/a,n/a,n/a
Saudi Arabia,MXN,0,"100,000",List rate,0.1969,0%,0,"300,000",List rate,0.1969,0%,0,"300,000",List rate,1.1007,0%
,MXN,"100,001","1,000,000",Tier rate,0.1871,-5%,"300,001","2,000,000",Tier rate,0.1871,-5%,"300,001","2,000,000",Tier rate,1.0457,-5%
,MXN,"1,000,001","4,500,000",Tier rate,0.1772,-10%,"2,000,001","10,000,000",Tier rate,0.1772,-10%,"2,000,001","10,000,000",Tier rate,0.9906,-10%
,MXN,"4,500,001","40,000,000",Tier rate,0.1674,-15%,"10,000,001","20,000,000",Tier rate,0.1674,-15%,"10,000,001","20,000,000",Tier rate,0.9356,-15%
,MXN,"40,000,001","80,000,000",Tier rate,0.1575,-20%,"20,000,001","40,000,000",Tier rate,0.1575,-20%,"20,000,001","40,000,000",Tier rate,0.8806,-20%
,MXN,"80,000,001",--,Tier rate,0.1477,-25%,"40,000,001",--,Tier rate,0.1477,-25%,"40,000,001",--,Tier rate,0.8255,-25%
Singapore,MXN,0,"150,000",List rate,0.2945,0%,0,"100,000",List rate,0.2945,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"150,001","1,000,000",Tier rate,0.2798,-5%,"100,001","300,000",Tier rate,0.2798,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,000,000",Tier rate,0.2651,-10%,"300,001","1,000,000",Tier rate,0.2651,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,000,001","25,000,000",Tier rate,0.2503,-15%,"1,000,001","10,000,000",Tier rate,0.2503,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"25,000,001","50,000,000",Tier rate,0.2356,-20%,"10,000,001","20,000,000",Tier rate,0.2356,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"50,000,001",--,Tier rate,0.2209,-25%,"20,000,001",--,Tier rate,0.2209,-25%,n/a,n/a,n/a,n/a,n/a
South Africa,MXN,0,"100,000",List rate,0.1399,0%,0,"300,000",List rate,0.1399,0%,0,"300,000",List rate,0.3681,0%
,MXN,"100,001","1,000,000",Tier rate,0.1329,-5%,"300,001","2,000,000",Tier rate,0.1329,-5%,"300,001","2,000,000",Tier rate,0.3497,-5%
,MXN,"1,000,001","4,500,000",Tier rate,0.1259,-10%,"2,000,001","10,000,000",Tier rate,0.1259,-10%,"2,000,001","10,000,000",Tier rate,0.3313,-10%
